Name,Cases - cumulative total,Deaths - cumulative total
United States of America,30475874,552125
Brazil,13013601,332752
India,12801785,166177
France,4764504,96673
Russian Federation,4606162,101480
The United Kingdom,4364533,126882
Italy,3686707,111747
Turkey,3579185,32667
Saint Barthélemy,910,1
Bhutan,896,1
Guernsey,821,14
Timor-Leste,779,0
Other,745,13
Faroe Islands,661,1
United Republic of Tanzania,509,21
Cayman Islands,501,2
Palau,0,0
Pitcairn Islands,0,0
Tokelau,0,0
Tonga,0,0
Turkmenistan,0,0
Tuvalu,0,0
